Household_ID,Ward,Address,Locality,Day,Daily_Usage_Liters,Anomaly_Flag,Leakage_Flag,Monthly_Usage_Liters,Average_Daily_Usage
328,Ward-8,"328 Khajrana Street, Indore",Khajrana,30,275.5120989794575,0,0,7765.093666566842,258.8364555522281
323,Ward-6,"323 Saket Nagar Street, Indore",Saket Nagar,21,338.4599039438722,0,0,7150.461051248502,238.34870170828341
237,Ward-8,"237 Old Palasia Street, Indore",Old Palasia,14,254.6784923512868,0,0,7254.1855747322015,241.80618582440673
377,Ward-6,"377 Old Palasia Street, Indore",Old Palasia,14,164.4378774432456,0,0,7472.472624989197,249.08242083297324
28,Ward-10,"28 Bicholi Mardana Street, Indore",Bicholi Mardana,11,327.3752600665031,0,0,7849.522323519746,261.6507441173249
55,Ward-5,"55 Bicholi Mardana Street, Indore",Bicholi Mardana,24,231.13608970581555,0,0,7388.890002769797,246.29633342565992
241,Ward-3,"241 Scheme No. 54 Street, Indore",Scheme No. 54,20,199.1280121855666,0,0,7900.512733153487,263.3504244384496
405,Ward-8,"405 Sukhliya Street, Indore",Sukhliya,2,237.26470295641187,0,0,8011.786797989296,267.0595599329765
88,Ward-2,"88 Bijalpur Street, Indore",Bijalpur,22,281.13556119501345,0,0,7933.954050631659,264.4651350210553
4,Ward-7,"4 Juni Indore Street, Indore",Juni Indore,18,197.26977652665812,0,0,7457.422215163988,248.58074050546625
345,Ward-8,"345 Sneh Nagar Street, Indore",Sneh Nagar,11,99.07216147161037,1,1,8230.637409518436,274.3545803172812
13,Ward-4,"13 Navlakha Street, Indore",Navlakha,8,213.12852667616087,0,0,7087.344580721217,236.24481935737393
294,Ward-10,"294 Saket Nagar Street, Indore",Saket Nagar,7,234.82561202507821,0,0,7839.858918819957,261.3286306273319
14,Ward-1,"14 Mhow Street, Indore",Mhow,27,282.2687974792574,0,0,7834.052667757661,261.1350889252554
81,Ward-6,"81 Juni Indore Street, Indore",Juni Indore,21,205.0853127083848,0,0,7458.763261683558,248.6254420561186
25,Ward-1,"25 Nipania Street, Indore",Nipania,10,261.63381789568973,0,0,7951.49377586945,265.04979252898164
230,Ward-8,"230 Bijalpur Street, Indore",Bijalpur,5,217.37358533916773,0,0,7256.987409709438,241.89958032364794
334,Ward-7,"334 Vijay Nagar Street, Indore",Vijay Nagar,4,269.8763878286577,0,0,7522.797912911636,250.75993043038787
287,Ward-3,"287 Silicon City Street, Indore",Silicon City,25,235.88797040383855,0,0,7582.2676778586165,252.74225592862055
119,Ward-4,"119 Palasia Street, Indore",Palasia,20,266.45533893550646,0,0,7206.794234023969,240.22647446746564
202,Ward-3,"202 Pipliyahana Street, Indore",Pipliyahana,8,198.9468500896572,0,0,7552.890349323042,251.7630116441014
329,Ward-10,"329 MG Road Street, Indore",MG Road,1,219.84670461035432,0,0,7311.931103394829,243.73103677982763
207,Ward-8,"207 Nipania Street, Indore",Nipania,29,281.6079909682055,0,0,7613.77245437893,253.79241514596433
80,Ward-6,"80 Old Palasia Street, Indore",Old Palasia,19,180.6921027947381,0,0,7488.695738680625,249.62319128935417
186,Ward-9,"186 Saket Nagar Street, Indore",Saket Nagar,13,188.16011587790717,0,0,7351.764319755665,245.0588106585222
115,Ward-3,"115 Bicholi Mardana Street, Indore",Bicholi Mardana,14,256.80864415324135,0,0,7439.655738576625,247.9885246192208
350,Ward-2,"350 Sneh Nagar Street, Indore",Sneh Nagar,29,284.3951041446199,0,0,7080.802723132018,236.02675743773395
282,Ward-9,"282 Rajendra Nagar Street, Indore",Rajendra Nagar,11,111.81430874450251,0,0,7615.934914176832,253.86449713922772
225,Ward-8,"225 Sneh Nagar Street, Indore",Sneh Nagar,30,161.11595188148993,0,0,7775.506982469163,259.18356608230545
493,Ward-10,"493 Musakhedi Street, Indore",Musakhedi,2,192.35490281763086,0,0,6990.538287637613,233.0179429212538
18,Ward-1,"18 MG Road Street, Indore",MG Road,1,342.34901657238015,0,0,7952.871674990812,265.09572249969375
24,Ward-3,"24 Pipliyahana Street, Indore",Pipliyahana,11,168.52035070118365,0,0,7614.3993900167325,253.81331300055774
